"filename", "language", "JSON", "JavaScript", "comment", "blank", "total"
"c:\Users\vyten\Desktop\Bakalaurinis\MusicBot\Commands\clear.js", "JavaScript", 0, 15, 5, 4, 24
"c:\Users\vyten\Desktop\Bakalaurinis\MusicBot\Commands\execute.js", "JavaScript", 0, 54, 5, 9, 68
"c:\Users\vyten\Desktop\Bakalaurinis\MusicBot\Commands\forceSkip.js", "JavaScript", 0, 17, 5, 4, 26
"c:\Users\vyten\Desktop\Bakalaurinis\MusicBot\Commands\help.js", "JavaScript", 0, 12, 5, 2, 19
"c:\Users\vyten\Desktop\Bakalaurinis\MusicBot\Commands\play.js", "JavaScript", 0, 39, 35, 8, 82
"c:\Users\vyten\Desktop\Bakalaurinis\MusicBot\Commands\queueList.js", "JavaScript", 0, 15, 5, 4, 24
"c:\Users\vyten\Desktop\Bakalaurinis\MusicBot\Commands\settings.js", "JavaScript", 0, 238, 36, 21, 295
"c:\Users\vyten\Desktop\Bakalaurinis\MusicBot\Commands\skip.js", "JavaScript", 0, 37, 5, 6, 48
"c:\Users\vyten\Desktop\Bakalaurinis\MusicBot\Commands\stop.js", "JavaScript", 0, 14, 5, 2, 21
"c:\Users\vyten\Desktop\Bakalaurinis\MusicBot\ServerSettings\803958160502030367.json", "JSON", 10, 0, 0, 0, 10
"c:\Users\vyten\Desktop\Bakalaurinis\MusicBot\ServerSettings\defaultSettings.json", "JSON", 10, 0, 0, 0, 10
"c:\Users\vyten\Desktop\Bakalaurinis\MusicBot\ServerSettings\exampleSettings.json", "JSON", 20, 0, 0, 0, 20
"c:\Users\vyten\Desktop\Bakalaurinis\MusicBot\index.js", "JavaScript", 0, 81, 2, 15, 98
"c:\Users\vyten\Desktop\Bakalaurinis\MusicBot\package-lock.json", "JSON", 3189, 0, 0, 1, 3190
"c:\Users\vyten\Desktop\Bakalaurinis\MusicBot\package.json", "JSON", 20, 0, 0, 1, 21
"c:\Users\vyten\Desktop\Bakalaurinis\MusicBot\queue.js", "JavaScript", 0, 200, 20, 20, 240
"c:\Users\vyten\Desktop\Bakalaurinis\MusicBot\userQueue.js", "JavaScript", 0, 47, 0, 7, 54
"Total", "-", 3249, 769, 128, 104, 4250
